,month,M,YieldBruto,Net Hazard Rate AMI,ZSpread,DurationBruto,SecurityID,Rnpd,RankID1,Duration
62,2016-02,5,1.858046,1.802672727,1.44237,3.155455,1260488,0.156854893,5,1
63,2016-02,5,3.045535,4.064916364,2.686604,3.780443,1260397,0.337025786,5,3
64,2016-02,5,2.452942,2.392796364,1.766938,1.729162,1260306,0.229763108,5,3
65,2016-02,5,3.970702,5.733109091,3.60411,5.629591,1260546,0.439466693,5,1
66,2016-02,5,4.745562,6.641438182,4.103691,8.177543,1260603,0.487711502,5,1
67,2016-02,5,2.453212,2.391378182,1.766158,1.510683,1260462,0.230563318,5,3
68,2016-03,5,3.418072,5.145669091,3.260118,5.588544,1260546,0.388412586,5,3
69,2016-03,5,4.250253,5.915463636,3.683505,8.149839,1260603,0.438525675,5,1
70,2016-03,5,2.458374,3.659409091,2.442675,3.716515,1260397,0.28593617,5,1
71,2016-03,5,1.724563,2.305185455,1.697852,1.659894,1260306,0.197794011,5,3
72,2016-03,5,1.41366,1.797792727,1.418786,3.085842,1260488,0.124624531,5,3
73,2016-03,5,1.856128,2.543698182,1.829034,1.442274,1260462,0.200377422,5,1
74,2016-04,5,1.906105,2.9771,2.067405,3.817957,1260397,0.258337084,5,1
75,2016-04,5,3.061169,4.661854545,2.99402,5.666437,1260546,0.368832923,5,3
76,2016-04,5,4.056678,5.582978182,3.500638,8.093818,1260603,0.430895129,5,3
77,2016-04,5,1.175454,1.974072727,1.51574,1.589478,1260306,0.193475648,5,1
78,2016-04,5,0.9216855,1.314387273,1.152913,3.127021,1260488,0.128140178,5,1
79,2016-04,5,1.327508,2.241161818,1.662639,1.373248,1260462,0.199638838,5,3
80,2016-05,5,1.247451,2.590650909,1.854858,1.297286,1260462,0.209274586,5,3
81,2016-05,5,0.7399967,1.449934545,1.227464,3.051521,1260488,0.134315066,5,1
82,2016-05,5,1.109422,2.353865455,1.724626,1.513194,1260306,0.195455727,5,3
83,2016-05,5,3.92012,5.648534545,3.536694,8.029721,1260603,0.436800614,5,1
84,2016-05,5,2.711725,4.428127273,2.86547,5.608459,1260546,0.367278129,5,1
85,2016-05,5,1.474989,2.641469091,1.882808,3.746244,1260397,0.242494852,5,3
86,2016-06,5,2.93784,4.466072727,2.88634,5.511408,1260546,0.352037359,5,3
87,2016-06,5,4.024504,5.642716364,3.533494,7.935146,1260603,0.436475057,5,1
88,2016-06,5,1.399654,2.215467273,1.648507,1.426381,1260306,0.180040073,5,1
89,2016-06,5,1.02073,1.412429091,1.206836,2.964716,1260488,0.128333547,5,3
90,2016-06,5,1.283495,1.997358182,1.528547,1.212016,1260462,0.177527003,5,3
91,2016-06,5,1.762549,2.668834545,1.897859,3.657977,1260397,0.24532333,5,1
92,2016-07,5,1.003852,1.468830909,1.237857,1.916438,1260462,0.153812009,5,1
93,2016-07,5,0.7529718,0.987150182,0.9729326,2.873353,1260488,0.101119636,5,3
94,2016-07,5,1.071322,1.58644,1.302542,1.690542,1260306,0.153953646,5,3
95,2016-07,5,3.787504,5.496363636,3.453,8.018393,1260603,0.410082597,5,1
96,2016-07,5,2.589511,4.004383636,2.632411,5.436923,1260546,0.317623064,5,1
97,2016-07,5,1.479321,2.253221818,1.669272,3.568113,1260397,0.21468042,5,3
98,2016-08,5,1.69225,2.611341818,1.866238,3.491669,1260397,0.217944003,5,3
99,2016-08,5,2.529623,3.952781818,2.60403,5.366158,1260546,0.31662396,5,1
100,2016-08,5,3.56896,5.243932727,3.314163,7.962266,1260603,0.401222315,5,1
101,2016-08,5,1.210109,1.579785455,1.298882,1.616264,1260306,0.152860516,5,3
102,2016-08,5,0.8093236,1.002261636,0.9812439,2.799004,1260488,0.082741949,5,3
103,2016-08,5,1.19334,1.579721818,1.298847,1.842316,1260462,0.157850834,5,1
104,2016-09,5,2.663652,3.94886,2.601873,5.274048,1260546,0.331104189,5,1
105,2016-09,5,3.677951,5.2845,3.336475,7.868445,1260603,0.417916246,5,3
106,2016-09,5,1.352782,1.672352727,1.349794,1.531018,1260306,0.145029484,5,3
107,2016-09,5,0.8623363,0.890402364,0.9197213,2.713719,1260488,0.098233102,5,1
108,2016-09,5,1.401269,1.784141818,1.411278,1.757221,1260462,0.166995636,5,1
109,2016-09,5,1.710624,2.420794545,1.761437,3.406525,1260397,0.214290377,5,3
110,2016-10,5,1.842549,2.479498182,1.793724,3.311845,1260397,0.22336825,5,3
111,2016-10,5,1.679616,2.449750909,1.777363,1.663851,1260462,0.201337489,5,1
112,2016-10,5,1.124531,1.279343636,1.133639,2.717746,1260488,0.121286946,5,1
113,2016-10,5,1.620813,2.359901818,1.727946,1.437277,1260306,0.198816828,5,3
114,2016-10,5,3.962907,5.432412727,3.417827,7.751964,1260603,0.413685586,5,3
115,2016-10,5,2.900991,4.079203636,2.673562,5.290297,1260546,0.327660746,5,1
116,2016-11,5,2.894073,4.100116364,2.699364,5.21666,1260546,0.343627979,5,1
117,2016-11,5,4.024551,5.484358182,3.460697,7.672923,1260603,0.428611081,5,3
118,2016-11,5,1.893274,2.687578182,1.922468,3.237285,1260397,0.246871237,5,3
119,2016-11,5,1.463696,2.272596364,1.694228,1.36365,1260306,0.208842368,5,1
120,2016-11,5,1.058569,1.305018182,1.16206,2.644054,1260488,0.131250361,5,1
121,2016-11,5,1.43446,2.198174545,1.653296,1.590071,1260462,0.206125816,5,3
122,2016-12,5,2.173321,2.939307273,2.046619,3.151847,1260397,0.233230187,5,3
123,2016-12,5,1.260808,1.434383636,1.218911,2.561,1260488,0.118497945,5,1
124,2016-12,5,3.121508,4.208065455,2.744436,5.123417,1260546,0.329443606,5,1
125,2016-12,5,4.172261,5.710138182,3.570576,7.578571,1260603,0.423935401,5,3
